labels_key,labels_value,execution_type,spark_loader,cores,memory,disk_space,persisient,sku_description,cost,time
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,hadoopbam,16,7,375,x,Network Inter Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,16,7,375,p,Network Inter Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,hadoopbam,2,13,750,x,Network Inter Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,16,60,375,x,Network Inter Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,hadoopbam,16,104,375,x,Network Inter Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,32,104,375,p,Network Inter Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,4,26,375,p,Network Inter Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,2,7,375,x,Network Inter Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,16,104,375,p,Network Inter Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,hadoopbam,16,60,375,x,Network Inter Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,16,15,375,p,Network Inter Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,hadoopbam,32,60,750,p,Network Inter Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,8,52,375,p,Network Inter Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,hadoopbam,16,60,375,p,Network Inter Zone Ingress,0,
